,Year,Type,Country,Area,Location,Activity,Injury,Time
393,2015.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,surfing,"Lacerations to lower left leg, puncture wounds to sole of left foot",06:00 - 08:59
395,2014.0,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,surfing,Lacerations to both feet,06:00 - 08:59
396,2014.0,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,fishing,FATAL,06:00 - 08:59
399,2014.0,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",surfing,Injury to hip/leg,09:00 - 11:59
402,2014.0,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,fishing,FATAL,09:00 - 11:59
408,2014.0,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",surfing,Laceration to left hand,12:00 - 14:59
409,2014.0,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",swimming,Laceration to left upper leg,12:00 - 14:59
410,2014.0,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,surfing,Minor injury to lower leg and foot,06:00 - 08:59
411,2014.0,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",surfing,Minor injuries to hand & arm ,15:00 - 17:59
412,2014.0,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",surfing,Lacerations to fingers,09:00 - 11:59
414,2014.0,Unprovoked,USA,Hawaii,"Kihei, Maui",surfing,"No injury, paddleboard bitten",09:00 - 11:59
415,2014.0,Unprovoked,USA,Hawaii,"Kahului, Maui",surfing,"No injury, paddleboard bitten",06:00 - 08:59
417,2014.0,Unprovoked,USA,Hawaii,"Maalaea, South Maui",surfing,"No injury, surfboard bitten",09:00 - 11:59
418,2014.0,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,surfing,"Lacerations to left calf & ankle, puncture wounds to left foot",06:00 - 08:59
420,2014.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",surfing,Laceration to right hand/wrist,15:00 - 17:59
422,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Foot bitten,09:00 - 11:59
423,2014.0,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",fishing,Thigh bitten,12:00 - 14:59
424,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Foot bitten,09:00 - 11:59
427,2014.0,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",surfing,Lacerations to knee,15:00 - 17:59
428,2014.0,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",surfing,"Left arm & right hand severed, lacerations to both legs",09:00 - 11:59
429,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injury to left foot,09:00 - 11:59
432,2014.0,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",swimming,FATAL,09:00 - 11:59
433,2014.0,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",fishing,Leg bitten,12:00 - 14:59
437,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Injury to left calf,15:00 - 17:59
443,2014.0,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",playing,Heel bitten,15:00 - 17:59
447,2014.0,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",playing,Puncture wounds and lacerations to left thigh and knee,09:00 - 11:59
450,2014.0,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",swimming,Puncture wounds to right foot & ankle,12:00 - 14:59
451,2014.0,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",swimming,Minor lacerations to left heel and big toe,12:00 - 14:59
452,2014.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",surfing,Lacerations to right leg & foot,12:00 - 14:59
455,2014.0,Unprovoked,USA,Florida,"Table Beach, Brevard County",surfing,Laceration to ankle,12:00 - 14:59
456,2014.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,surfing,Lower limbs & thigh bitten,12:00 - 14:59
460,2014.0,Unprovoked,USA,Florida,"Indialantic, Brevard County",playing,Lacerations to right knee,12:00 - 14:59
462,2014.0,Unprovoked,USA,Hawaii,"Paia Bay, Maui",swimming,Lacerations to left foot,15:00 - 17:59
463,2014.0,Unprovoked,USA,Florida,Okaloosa Island,swimming,Puncture wounds to foot,12:00 - 14:59
466,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to foot,12:00 - 14:59
468,2014.0,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",surfing,"No injury, surboard bitten",06:00 - 08:59
469,2014.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",surfing,Right hand bitten,18:00 - 20:59
472,2014.0,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",surfing,"No injury, surfboard 'attacked'",15:00 - 17:59
473,2014.0,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",surfing,Lacerations to knee,15:00 - 17:59
476,2014.0,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",playing,"Abrasion to right hand, lacerations to left forearm",15:00 - 17:59
477,2014.0,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",surfing,Minor injury to torso,09:00 - 11:59
478,2014.0,Unprovoked,JAPAN,Atsumi peninsula,Aichi,surfing,Left arm bitten,12:00 - 14:59
480,2014.0,Unprovoked,USA,Florida,Fort Lauderdale,swimming,Laceration to right lower leg,12:00 - 14:59
481,2014.0,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",surfing,Lacerations & puncture wounds to ankle and foot,06:00 - 08:59
484,2014.0,Unprovoked,FRANCE,Wallis and Futuna,Wallis Island,swimming,Lacerations to left thigh and hip,06:00 - 08:59
486,2014.0,Unprovoked,USA,Florida,"Juan Ponce de Legn Landing, Melbourne Beach, Brevard County",surfing,Calf bitten,09:00 - 11:59
487,2014.0,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",surfing,"No injury, but surfboard severely damaged",09:00 - 11:59
488,2014.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",playing,Lacerations and puncture wounds to right foot,09:00 - 11:59
491,2014.0,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",swimming,Lacerations to left foot,15:00 - 17:59
493,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Laceration to right hand and cuts on fingertips,15:00 - 17:59
495,2014.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",swimming,Laceration & puncture wounds to right foot,15:00 - 17:59
496,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Minor lacerations to left foot,09:00 - 11:59
499,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor puncture wounds to lower left leg,12:00 - 14:59
500,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to foot,12:00 - 14:59
501,2014.0,Unprovoked,AUSTRALIA,New South Wales,Tathra,swimming,FATAL,06:00 - 08:59
503,2014.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",swimming,FATAL,15:00 - 17:59
507,2014.0,Unprovoked,AUSTRALIA,Victoria,Winkipop Beach,surfing,Shark leapt onto surfboard; surfer uninjured ,06:00 - 08:59
509,2014.0,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,swimming,Minor lacerations to foot,18:00 - 20:59
512,2014.0,Unprovoked,FRENCH POLYNESIA,Society Islands,Huahine,surfing,Lacerations to lower leg,15:00 - 17:59
514,2014.0,Unprovoked,AUSTRALIA,South Australia,"Goldsmith Beach, Yorke Peninsula",swimming,FATAL,12:00 - 14:59
516,2014.0,Unprovoked,NEW ZEALAND,South Island,Porpoise Bay,surfing,Lacerations to leg,18:00 - 20:59
521,2013.0,Unprovoked,NEW CALEDONIA,North Province,"Lindéralique, Hienghène",swimming,Leg bitten,09:00 - 11:59
522,2013.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Die Platt,surfing,Injuries to left thigh,06:00 - 08:59
524,2013.0,Unprovoked,USA,Hawaii,"Ninole Bay, Hawaii County",surfing,Lacerations to right hand & knee,06:00 - 08:59
525,2013.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",surfing,Right foot bitten,12:00 - 14:59
526,2013.0,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",surfing,"Puncture wounds to hand, laceration to leg",18:00 - 20:59
527,2013.0,Unprovoked,USA,Hawaii,"Between  Makena & Molokini, Maui",fishing,FATAL,09:00 - 11:59
528,2013.0,Unprovoked,AUSTRALIA,New South Wales,"Riecks Point,  Campbell's Beach, ",surfing,FATAL,12:00 - 14:59
529,2013.0,Unprovoked,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",swimming,Right calf bitten,12:00 - 14:59
530,2013.0,Unprovoked,AUSTRALIA,Western Australia,Gracetown,surfing,FATAL,09:00 - 11:59
531,2013.0,Unprovoked,USA,Oregon,"Gleneden Beach, Lincoln County",surfing,"No injury, board bitten",09:00 - 11:59
532,2013.0,Unprovoked,AUSTRALIA,Western Australia,"Trigg Beach, Perth",surfing,"No injury, board bumped by shark",15:00 - 17:59
534,2013.0,Unprovoked,USA,New Jersey,"Bay Head, Ocean County",surfing,"No injury, swim fin bitten",12:00 - 14:59
536,2013.0,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",surfing,Severe bite to right calf & anklel,15:00 - 17:59
537,2013.0,Unprovoked,AUSTRALIA,Western Australia,Turquoise Bay,swimming,Lacerations to right arm,12:00 - 14:59
538,2013.0,Unprovoked,REUNION,d'Étang-Salé,Ravine Mula,surfing,Right leg severed,15:00 - 17:59
539,2013.0,Unprovoked,AUSTRALIA,Western Australia,"Little Island, near Hillarys",swimming,"No injury, swim fin shredded",09:00 - 11:59
540,2013.0,Unprovoked,AUSTRALIA,New South Wales,South Narrabeen Beach,surfing,Injuries to right foot,18:00 - 20:59
541,2013.0,Unprovoked,USA,Hawaii,"Waiehu, Maui",swimming,"3"" laceration to left hip",15:00 - 17:59
542,2013.0,Unprovoked,USA,Hawaii,"Pila'a Beach, Kaua'i",surfing,"No injury, shark bit surfboard",09:00 - 11:59
543,2013.0,Unprovoked,USA,Florida,Miami Beach,playing,Bitten on left calf & foot,15:00 - 17:59
544,2013.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",swimming,FATAL,09:00 - 11:59
545,2013.0,Unprovoked,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",swimming,"Injuries to torso, head and face",09:00 - 11:59
546,2013.0,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",surfing,Laceration to thigh,06:00 - 08:59
547,2013.0,Unprovoked,USA,Florida,"Destin, Okaloosa County",playing,Lacerations to  right forearm,15:00 - 17:59
548,2013.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",surfing,Lacerations to hand,09:00 - 11:59
550,2013.0,Unprovoked,USA,Florida,"Panama City, Bay County",playing,Laceration and puncture wounds to ankle,09:00 - 11:59
551,2013.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",swimming,Lacerations to right foot,12:00 - 14:59
552,2013.0,Unprovoked,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",surfing,Lacerations to left foream,06:00 - 08:59
553,2013.0,Unprovoked,USA,Florida,"Casino Beach, Pensacola, Escambia County",swimming,Lacerations to right foot,15:00 - 17:59
554,2013.0,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",surfing,Heel bitten,12:00 - 14:59
557,2013.0,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",playing,"Minor injury, shin bitten",15:00 - 17:59
558,2013.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",swimming,Shoulder bitten,12:00 - 14:59
563,2013.0,Unprovoked,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",swimming,Foot bitten,21:00 - 23:59
566,2013.0,Unprovoked,USA,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",surfing,Minor injury to left lower leg & heel,15:00 - 17:59
568,2013.0,Unprovoked,USA,Hawaii,Pohoiki ,surfing,Lacerations to buttocks & thigh,12:00 - 14:59
569,2013.0,Unprovoked,USA,California,"Pillar Point, Half-Moon Bay, San Mateo County",surfing,"No injury, shark bumped surfboard",12:00 - 14:59
570,2013.0,Unprovoked,USA,Hawaii,"Makenat, Maui",swimming,FATAL,15:00 - 17:59
571,2013.0,Unprovoked,USA,Hawaii,"Ka'a Point, Maui",surfing,No injury & not on board. Board adrift when bitten by shark,12:00 - 14:59
572,2013.0,Unprovoked,USA,South Carolina,Folly Beach,surfing,"No injury, shark became entangled in his surfboard leash",15:00 - 17:59
574,2013.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",fishing,Minor injury to foot & shin,15:00 - 17:59
575,2013.0,Unprovoked,USA,Hawaii,"Ulua Beach, Maui",swimming,"Lacerations to hand, face and torso",06:00 - 08:59
577,2013.0,Unprovoked,BAHAMAS,Abaco Islands,Scotland Cay,fishing,Leg bitten,15:00 - 17:59
579,2013.0,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",surfing,Lower leg bitten,12:00 - 14:59
580,2013.0,Unprovoked,BAHAMAS,Exuma Islands,Compass Cay,fishing,Bitten on left hand,15:00 - 17:59
581,2013.0,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,swimming,Bitten on rear lower extremities,09:00 - 11:59
582,2013.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",swimming,FATAL,12:00 - 14:59
583,2013.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",surfing,Lacerations and abrasions to foot and ankle,12:00 - 14:59
585,2013.0,Unprovoked,REUNION,Saint-Paul,Le cimetière marin,swimming,FATAL,12:00 - 14:59
587,2013.0,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,playing,Right foot bitten,15:00 - 17:59
594,2013.0,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",swimming,"Bitten on lower right leg, reported as a minor injury",12:00 - 14:59
595,2013.0,Unprovoked,USA,Hawaii,Kona Coast State Park,swimming,Right thigh & calf bitten,12:00 - 14:59
596,2013.0,Unprovoked,USA,Texas,"Surfside Beach, Brazoria County",swimming,Left leg & hand bitten,12:00 - 14:59
597,2013.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,surfing,Lacerations to knee,06:00 - 08:59
599,2013.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",surfing,Puncture marks to hand,12:00 - 14:59
601,2013.0,Unprovoked,AUSTRALIA,New South Wales,Target Beach,surfing,"No injury, board damaged",15:00 - 17:59
603,2013.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",swimming,Right foot bitten,12:00 - 14:59
606,2013.0,Unprovoked,ECUADOR,Santa Cruz Island,"Playa Brava, Turtle Bay",surfing,Superficial injury to left calf,12:00 - 14:59
608,2013.0,Unprovoked,REUNION,Saint-Gilles,Brisant Beach,surfing,FATAL,06:00 - 08:59
609,2013.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",surfing,Lacerations to left foot and ankle,09:00 - 11:59
611,2013.0,Unprovoked,MEXICO,Quintana Roo,"Seagull Beach, Cancun",swimming,Avulsion injury  to lower right leg,12:00 - 14:59
612,2013.0,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,fishing,Puncture wounds and lacerations to both legs,12:00 - 14:59
613,2013.0,Unprovoked,USA,Florida,"Near Boynton Beach, Palm Beach County",surfing,Lacerations to right foot,09:00 - 11:59
615,2013.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor lacerations to right hand,12:00 - 14:59
617,2013.0,Unprovoked,FRENCH POLYNESIA,Tuamotus,"North Pass, Fakarava",surfing,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",12:00 - 14:59
620,2013.0,Unprovoked,USA,Hawaii,Ka'anapali Shores,surfing,Right thigh bitten,06:00 - 08:59
627,2013.0,Unprovoked,JAMAICA,St. Catherine,Pillikin Red Light area ,fishing,FATAL,09:00 - 11:59
628,2013.0,Unprovoked,AUSTRALIA,Western Australia,African Reef off Geraldton,fishing,Laceration to left hand,09:00 - 11:59
631,2013.0,Unprovoked,NEW ZEALAND,North Island,Muriwai,swimming,FATAL,12:00 - 14:59
632,2013.0,Unprovoked,USA,Hawaii,"Ka'anapali, Honokowai, Maui",surfing,Lacerations to right leg,18:00 - 20:59
633,2013.0,Unprovoked,USA,Hawaii,"Paia Bay, Maui",surfing,"No injury, shark bit rail of foam board",18:00 - 20:59
634,2013.0,Unprovoked,USA,Florida,"""Stuart Rocks"", Martin County",surfing,Lacerations to right hand,12:00 - 14:59
635,2013.0,Unprovoked,FRENCH POLYNESIA,Society Islands,"Tapu, a dive site on the outer reefs of Bora Bora",swimming,Lacerations to right arm & thigh,09:00 - 11:59
640,2013.0,Unprovoked,USA,Hawaii,Kiholo Bay,surfing,Left forearm bitten ,15:00 - 17:59
642,2013.0,Unprovoked,AUSTRALIA,Western Australia,Near Legendre Island,swimming,Calf & shin bitten ,09:00 - 11:59
643,2012.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",swimming,Lower leg or ankle bitten,12:00 - 14:59
644,2012.0,Unprovoked,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,surfing,"No injury, chunk missing from surfboard",12:00 - 14:59
645,2012.0,Unprovoked,AUSTRALIA,New South Wales,"Kylie's Beach, Diamond Head",surfing,Lacerations to thigh and hand,09:00 - 11:59
647,2012.0,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,surfing,No injury,06:00 - 08:59
648,2012.0,Unprovoked,USA,Hawaii,Kauai,surfing,Lacerations to left foot,12:00 - 14:59
649,2012.0,Unprovoked,AUSTRALIA,New South Wales,Green Island,fishing,Minor puncture wounds to knee,15:00 - 17:59
651,2012.0,Unprovoked,USA,Hawaii,"Kihei, Maui",swimming,Lacerations to thigh & lower left leg,09:00 - 11:59
653,2012.0,Unprovoked,MEXICO,Sinaloa,Nuevo Altata,swimming,FATAL,09:00 - 11:59
654,2012.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",surfing,Minor lacerations to left foot & heel,15:00 - 17:59
655,2012.0,Unprovoked,USA,Hawaii,"Makena Landing, Maui",swimming,Right lower leg and foot bitten,06:00 - 08:59
656,2012.0,Unprovoked,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",surfing,"No injury, surfboard bitten",06:00 - 08:59
657,2012.0,Unprovoked,USA,California,"Humboldt Bay, Eureka, Humboldt County",surfing,Multiple lacerations to torso,12:00 - 14:59
658,2012.0,Unprovoked,USA,Hawaii,"Makena Landing, Maui",swimming,"Puncture wounds to thigh, defense wounds  to hand",15:00 - 17:59
659,2012.0,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",surfing,FATAL,09:00 - 11:59
661,2012.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Minor bite to ankle,09:00 - 11:59
662,2012.0,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",surfing,"No injury, board bitten",06:00 - 08:59
665,2012.0,Unprovoked,USA,California,"Davenport Landing, Santa Cruz County",surfing,"No ijnury to boardrider, shark struck board breaking the mast",18:00 - 20:59
666,2012.0,Unprovoked,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",surfing,"No injury, but swim fin bitten & torn",12:00 - 14:59
667,2012.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",surfing,Lacerations to left forearm,15:00 - 17:59
668,2012.0,Unprovoked,USA,Florida,"Spanish House Beach, Brevard County",surfing,Left foot bitten,12:00 - 14:59
669,2012.0,Unprovoked,USA,Florida," Cocoa Beach, Brevard  County",surfing,Foot bitten,15:00 - 17:59
671,2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injury to elbow,12:00 - 14:59
672,2012.0,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",surfing,Right foot bitten,12:00 - 14:59
673,2012.0,Unprovoked,USA,Florida,"South Beach, Miami-Dade County",swimming,Lacerations to right calf,12:00 - 14:59
674,2012.0,Unprovoked,USA,Florida,"Neptune Beach, Duval County",surfing,Right calf bitten,09:00 - 11:59
675,2012.0,Unprovoked,USA,Florida,"St. Augustine Beach, St. John's County",surfing,Lacerations to foot,09:00 - 11:59
676,2012.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",surfing,Puncture wounds to hand,06:00 - 08:59
677,2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Puncture wounds to calf and hand,18:00 - 20:59
679,2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Puncture wound to left ankle,15:00 - 17:59
681,2012.0,Unprovoked,AUSTRALIA,Western Australia,Red Bluff near Quobba Station,surfing,Lacerations to torso and arm,15:00 - 17:59
682,2012.0,Unprovoked,BRAZIL,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",swimming,FATAL,12:00 - 14:59
685,2012.0,Unprovoked,USA,Florida,Key Largo,swimming,Lacerations to little finger of left hand,15:00 - 17:59
